package,function
atakrig,rgeos::gCentroid sp::CRS sp::SpatialPoints
ausplotsR,maptools::map2SpatialPolygons sp::CRS
automap,sp::bubble sp::Polygon sp::SpatialPoints sp::spDists sp::zerodist
bamlss,sp::CRS sp::point.in.polygon sp::Polygon sp::Polygons sp::SpatialPoints sp::SpatialPolygons
BasketballAnalyzeR,sp::point.in.polygon
BayesX,sp::bbox sp::coordinates sp::Polygon sp::polygons sp::Polygons sp::SpatialPolygons
bdvis,rgdal::readOGR
bfsMaps,maptools::unionSpatialPolygons rgdal::readOGR rgeos::gLength rgeos::readWKT sp::CRS sp::Polygons sp::proj4string sp::SpatialPoints sp::SpatialPolygons sp::SpatialPolygonsDataFrame
biogeo,maptools::writePointsShape sp::CRS sp::SpatialPoints sp::SpatialPointsDataFrame
BIOMASS,sp::Polygon sp::Polygons sp::SpatialPolygons
bioRad,sp::CRS sp::GridTopology sp::SpatialGrid sp::SpatialGridDataFrame sp::SpatialPoints sp::SpatialPointsDataFrame
biosurvey,rgdal::readOGR rgeos::gBuffer rgeos::gCentroid sp::coordinates sp::CRS sp::over sp::plot sp::proj4string sp::SpatialPointsDataFrame sp::SpatialPolygonsDataFrame sp::spTransform
birdring,rgeos::gDifference rgeos::gIntersection rgeos::gIntersects rgeos::gUnionCascaded sp::CRS sp::GridTopology sp::Line sp::Lines sp::SpatialLines sp::SpatialPoints sp::SpatialPolygons
birdscanR,maptools::crepuscule maptools::sunriset sp::CRS sp::SpatialPoints
bivariatemaps,rgeos::gArea sp::CRS sp::proj4string sp::spTransform
bnspatial,rgdal::GDALinfo rgdal::ogrInfo
bRacatus,rgeos::gBuffer rgeos::gIntersection sp::coordinates sp::CRS sp::proj4string sp::spChFIDs
briskaR,rgdal::readOGR rgeos::gBuffer rgeos::gDifference rgeos::gUnionCascaded sp::CRS sp::Line sp::Lines sp::Polygon sp::Polygons sp::SpatialLines sp::SpatialPointsDataFrame sp::SpatialPolygons sp::SpatialPolygonsDataFrame
calibrationband,sp::coordinates sp::Line sp::Lines sp::SpatialLines
camtrapR,sp::plot
canadianmaps,sp::coordinates sp::CRS sp::proj4string sp::spTransform
Cardinal,sp::point.in.polygon
cartograflow,rgeos::gIntersects
cartography,sp::bbox sp::coordinates sp::plot
cellmigRation,sp::Polygon
CENFA,sp::identicalCRS
ceramic,sp::plot
changeRangeR,rgeos::gBuffer rgeos::gIntersection sp::coordinates sp::CRS sp::Polygon sp::Polygons sp::SpatialPoints sp::SpatialPolygons
chillR,sp::spDistsN1
cholera,sp::point.in.polygon sp::Polygon sp::spDistsN1 sp::spsample
cleangeo,rgeos::gBuffer rgeos::gCrosses rgeos::gDifference rgeos::getScale rgeos::gIntersection rgeos::gIsValid rgeos::gUnionCascaded sp::CRS sp::Line sp::Lines sp::Polygon sp::Polygons sp::SpatialLines sp::SpatialPolygons sp::SpatialPolygonsDataFrame
cmsafops,sp::coordinates sp::CRS sp::SpatialPoints sp::spDistsN1
