package,function
rbgm,sp::CRS sp::Line sp::Lines sp::point.in.polygon sp::Polygon sp::Polygons sp::SpatialLines sp::SpatialLinesDataFrame sp::SpatialPointsDataFrame sp::SpatialPolygons sp::SpatialPolygonsDataFrame sp::spDistsN1
rcanvec,rgdal::readOGR rgdal::writeOGR sp::coordinates sp::CRS sp::plot sp::SpatialPoints sp::spTransform
rCAT,sp::CRS
RCGLS,sp::CRS
RchivalTag,maptools::PolySet2SpatialPolygons maptools::SpatialLines2PolySet maptools::unionSpatialPolygons sp::CRS sp::Polygon sp::Polygons sp::SpatialPolygons sp::SpatialPolygonsDataFrame
RclusTool,sp::point.in.polygon
rcrimeanalysis,sp::CRS sp::Polygon sp::Polygons sp::SpatialPolygons
rddapp,sp::point.in.polygon
rdhs,rgdal::readOGR
red,maptools::kmlPolygon maptools::kmlPolygons rgdal::project rgeos::gIntersection rgeos::gSimplify sp::CRS sp::over sp::Polygon sp::Polygons sp::SpatialPoints sp::SpatialPolygons sp::SpatialPolygonsDataFrame
redlistr,rgeos::gArea sp::Polygon sp::Polygons sp::SpatialPolygons
ref.ICAR,rgdal::readOGR
refreg,sp::Polygon sp::Polygons sp::SpatialPoints sp::SpatialPolygons
rerddapXtracto,sp::point.in.polygon
rgeos,sp::CRS sp::identicalCRS sp::Lines sp::overDF_for_rgeos sp::Polygon sp::Polygons sp::SpatialLines sp::SpatialPoints sp::SpatialPolygons sp::SpatialPolygonsDataFrame sp::zerodist
RgoogleMaps,sp::bbox sp::coordinates sp::CRS sp::degreeLabelsEW sp::degreeLabelsNS sp::plot sp::proj4string sp::SpatialPointsDataFrame sp::spTransform
rinat,sp::bbox
riverdist,rgdal::readOGR sp::CRS sp::is.projected sp::proj4string sp::spTransform
rleafmap,sp::CRS
rLiDAR,sp::over sp::Polygon sp::Polygons sp::SpatialPixelsDataFrame sp::SpatialPoints sp::SpatialPolygons sp::SpatialPolygonsDataFrame
rmapshaper,sp::identicalCRS sp::SpatialLinesDataFrame sp::SpatialPointsDataFrame
rmapzen,maptools::unionSpatialPolygons rgdal::ogrListLayers rgdal::readOGR sp::SpatialPolygonsDataFrame
rnpn,sp::coordinates
roads,sp::plot
rosm,rgdal::CRSargs sp::bbox sp::coordinates sp::CRS sp::plot sp::SpatialPoints sp::spTransform
rpostgis,rgeos::readWKT rgeos::writeWKT sp::CRS sp::proj4string sp::SpatialLines sp::SpatialLinesDataFrame sp::SpatialMultiPoints sp::SpatialMultiPointsDataFrame sp::SpatialPixelsDataFrame sp::SpatialPoints sp::SpatialPointsDataFrame sp::SpatialPolygons sp::SpatialPolygonsDataFrame sp::spTransform
RSIP,rgdal::readOGR sp::CRS
rtop,sp::CRS sp::Polygon sp::Polygons sp::SpatialPoints sp::SpatialPointsDataFrame sp::SpatialPolygons sp::SpatialPolygonsDataFrame sp::spDists sp::spDistsN1
Rtrack,rgeos::gDifference sp::over sp::plot sp::Polygon sp::Polygons sp::SpatialPoints sp::SpatialPolygons
RWmisc,sp::CRS sp::identicalCRS
rworldmap,maptools::readAsciiGrid sp::as.image.SpatialGridDataFrame sp::gridparameters sp::GridTopology sp::SpatialGridDataFrame
satin,sp::degAxis
scBio,sp::Polygon sp::Polygons sp::proj4string sp::SpatialPolygons
sdm,sp::CRS sp::SpatialPointsDataFrame
sdmpredictors,rgdal::GDALis3ormore
SDPDmod,sp::Polygon sp::Polygons sp::SpatialLinesLengths sp::SpatialPolygons
sdStaf,sp::CRS sp::SpatialPoints
secrlinear,sp::Lines sp::SpatialLines sp::SpatialLinesDataFrame sp::SpatialLinesLengths sp::SpatialPointsDataFrame
SeerMapper,sp::CRS sp::SpatialPolygonsDataFrame sp::spTransform
seg,sp::CRS sp::over sp::SpatialPixelsDataFrame sp::SpatialPoints sp::SpatialPointsDataFrame sp::SpatialPolygonsDataFrame
SegEnvIneq,rgdal::readOGR rgeos::gCentroid rgeos::gDistance
SeuratObject,sp::Polygon sp::Polygons sp::SpatialPoints sp::SpatialPolygons
sfdct,sp::over
shadow,rgeos::gBuffer rgeos::gCentroid rgeos::gConvexHull rgeos::gDistance rgeos::gIntersection rgeos::gIntersects rgeos::gLength rgeos::gLineMerge rgeos::gUnaryUnion rgeos::gUnion sp::coordinates sp::CRS sp::Line sp::Lines sp::over sp::proj4string sp::rbind.SpatialLines sp::rbind.SpatialPoints sp::SpatialLines sp::SpatialLinesDataFrame sp::SpatialPoints sp::SpatialPointsDataFrame sp::SpatialPolygonsDataFrame sp::spTransform
ShapePattern,rgdal::readOGR rgdal::writeOGR rgeos::gArea rgeos::gBuffer rgeos::gIsEmpty rgeos::gLength
shp2graph,sp::as.SpatialLines.SLDF sp::SpatialLinesDataFrame
SimSurvey,sp::CRS
smacpod,sp::spDists
smerc,sp::spDists
soilassessment,sp::CRS sp::Polygon sp::Polygons sp::SpatialPolygons
soiltexture,sp::point.in.polygon
SongEvo,sp::CRS sp::SpatialPointsDataFrame sp::spDists
spacetime,sp::.invert sp::CRS sp::identicalCRS sp::Line sp::Lines sp::longlat.scales sp::mapasp sp::overDF_for_rgeos sp::SpatialLines sp::SpatialPoints sp::zerodist
SpatialBSS,sp::SpatialPointsDataFrame sp::spplot
SpatialEpi,sp::CRS sp::Polygon sp::Polygons sp::SpatialPolygons
spatialfusion,rgeos::gIntersection rgeos::gUnion sp::bbox sp::CRS sp::makegrid sp::Polygon sp::Polygons sp::SpatialPoints sp::SpatialPointsDataFrame sp::SpatialPolygons sp::SpatialPolygonsDataFrame
SpatialGraph,rgeos::gDistance rgeos::gIntersection rgeos::gWithinDistance sp::CRS sp::Line sp::Lines sp::SpatialLines sp::SpatialLinesDataFrame sp::SpatialPointsDataFrame
SpatialPosition,sp::identicalCRS
spatsoc,rgeos::gArea rgeos::gBuffer rgeos::gIntersection rgeos::gIntersects sp::CRS sp::Line sp::Lines sp::SpatialLines sp::SpatialPointsDataFrame
spatsurv,rgeos::gBuffer sp::CRS sp::plot sp::Polygon sp::Polygons sp::SpatialPixels sp::SpatialPixelsDataFrame sp::SpatialPoints sp::SpatialPolygons sp::SpatialPolygonsDataFrame
spbabel,sp::CRS sp::Line sp::Lines sp::Polygon sp::Polygons sp::SpatialLines sp::SpatialLinesDataFrame sp::SpatialMultiPoints sp::SpatialMultiPointsDataFrame sp::SpatialPoints sp::SpatialPointsDataFrame sp::SpatialPolygons sp::SpatialPolygonsDataFrame
spcosa,sp::getGridTopology sp::identicalCRS sp::SpatialGridDataFrame sp::SpatialPixelsDataFrame sp::SpatialPoints sp::SpatialPointsDataFrame
spDates,sp::coordinates sp::fullgrid sp::gridded sp::proj4string sp::SpatialPointsDataFrame sp::spDistsN1 sp::spplot sp::spsample sp::zerodist
spdep,sp::CRS sp::get_ll_TOL sp::Line sp::Lines sp::SpatialLines sp::SpatialLinesDataFrame sp::spDists
sperich,rgdal::writeGDAL sp::CRS sp::SpatialPixelsDataFrame sp::SpatialPoints
spex,sp::coordinates sp::CRS sp::Polygons sp::SpatialPolygons sp::SpatialPolygonsDataFrame
spgwr,sp::CRS sp::Polygons sp::SpatialPointsDataFrame sp::SpatialPolygonsDataFrame sp::spDistsN1
sphet,sp::spDists
SPIAT,sp::point.in.polygon sp::Polygon sp::Polygons sp::SpatialPolygons
spm,sp::coordinates
spm2,sp::coordinates
spqdep,sp::SpatialPoints
SRTsim,sp::Polygon
SSDM,sp::Polygon sp::Polygons sp::SpatialPoints sp::SpatialPolygons
SSN,maptools::getinfo.shape rgdal::readOGR rgdal::writeOGR sp::Line sp::Lines sp::SpatialLines sp::SpatialLinesDataFrame sp::SpatialPoints sp::SpatialPointsDataFrame
StatDA,sp::over sp::Polygon sp::Polygons sp::SpatialPoints sp::SpatialPolygons
stJoincount,sp::coordinates
STMedianPolish,sp::Polygon sp::Polygons sp::SpatialPoints sp::SpatialPolygons sp::spDists
stppSim,sp::CRS sp::Polygon sp::Polygons sp::SpatialPoints sp::SpatialPolygons sp::SpatialPolygonsDataFrame
streamDepletr,sp::SpatialPointsDataFrame sp::spsample
structToolbox,sp::point.in.polygon
stxplore,sp::CRS sp::proj4string sp::SpatialPoints
SubgrPlots,sp::plot sp::Polygon sp::Polygons sp::SpatialPolygons
SUMMER,sp::coordinates sp::merge sp::over sp::plot sp::Polygon sp::proj4string sp::spplot
SUNGEO,sp::bbox sp::coordinates sp::CRS sp::proj4string sp::spTransform
surveillance,sp::GridTopology sp::identicalCRS sp::is.projected sp::layout.scale.bar sp::point.in.polygon sp::Polygon sp::Polygons sp::SpatialGrid sp::SpatialPixelsDataFrame sp::SpatialPoints sp::SpatialPointsDataFrame sp::SpatialPolygons sp::spDistsN1
SWTools,sp::CRS sp::over sp::SpatialPoints
telemac,sp::as.SpatialLines.SLDF sp::Line sp::Lines sp::SpatialLines sp::SpatialPoints sp::SpatialPointsDataFrame
Ternary,sp::point.in.polygon
tiler,sp::CRS
topoDistance,sp::SpatialLinesLengths sp::SpatialPoints
track2KBA,maptools::spRbind sp::CRS sp::is.projected sp::SpatialPixels sp::SpatialPoints sp::SpatialPointsDataFrame sp::spDistsN1 sp::spTransform
trackeR,sp::spDists
TrajDataMining,sp::CRS sp::identicalCRS sp::Line sp::Lines sp::Polygon sp::Polygons sp::SpatialLines sp::SpatialLinesDataFrame sp::SpatialLinesLengths sp::SpatialPoints sp::SpatialPolygons sp::SpatialPolygonsDataFrame
trajectories,sp::bbexpand sp::bpy.colors sp::CRS sp::identicalCRS sp::Line sp::LineLength sp::Lines sp::longlat.scales sp::mapasp sp::SpatialLines sp::SpatialLinesDataFrame sp::SpatialLinesLengths sp::SpatialPoints sp::spDists
trip,sp::as.image.SpatialGridDataFrame sp::coordinates sp::coordinatevalues sp::CRS sp::image2Grid sp::is.projected sp::Line sp::Lines sp::proj4string sp::SpatialGridDataFrame sp::SpatialLines sp::SpatialLinesDataFrame sp::SpatialPoints sp::SpatialPointsDataFrame
tripEstimation,sp::as.image.SpatialGridDataFrame
TUFLOWR,sp::coordinates sp::fullgrid sp::gridded sp::makegrid sp::proj4string sp::SpatialPoints sp::SpatialPointsDataFrame
uavRmp,sp::coordinates sp::CRS sp::Line sp::Lines sp::Polygon sp::Polygons sp::proj4string sp::remove.duplicates sp::SpatialLines sp::SpatialPoints sp::SpatialPointsDataFrame sp::SpatialPolygons sp::SpatialPolygonsDataFrame sp::spTransform
UBL,sp::SpatialPoints
ursa,rgdal::closeDataset rgdal::CRSargs rgdal::GDAL.close rgdal::GDALcall rgdal::GDALinfo rgdal::getDriver rgdal::getDriverName rgdal::getRasterData rgdal::ogrInfo rgdal::ogrListLayers rgdal::project rgdal::putRasterData rgdal::readOGR rgdal::saveDataset rgdal::setCPLConfigOption rgdal::showP4 rgdal::showWKT rgdal::writeOGR
UScensus2010,sp::layout.north.arrow
variosig,sp::coordinates
vec2dtransf,sp::CRS sp::Line sp::Lines sp::Polygon sp::Polygons sp::SpatialLines sp::SpatialLinesDataFrame sp::SpatialPoints sp::SpatialPointsDataFrame sp::SpatialPolygons sp::SpatialPolygonsDataFrame
VIM,sp::SpatialPoints
virtualspecies,sp::coordinates
vivid,sp::point.in.polygon
walkboutr,sp::SpatialPoints sp::spDists
wallace,rgdal::readOGR rgeos::gBuffer
Watersheds,rgeos::gBoundary rgeos::gBuffer rgeos::gCentroid rgeos::gCrosses rgeos::gDistance rgeos::gIntersects sp::Polygon sp::Polygons sp::SpatialPoints sp::SpatialPolygons
waver,rgeos::gBinarySTRtreeQuery rgeos::gDistance rgeos::gIntersection rgeos::gIntersects rgeos::gUnaryUnion sp::CRS sp::Line sp::Lines sp::Polygon sp::Polygons sp::SpatialLines sp::SpatialPolygons
WEGE,sp::CRS
wikilake,sp::coordinates
wildlifeDI,sp::CRS
wkb,sp::CRS sp::Line sp::Lines sp::Polygon sp::Polygons sp::SpatialLines sp::SpatialPoints sp::SpatialPolygons
wux,rgdal::readOGR rgeos::gArea rgeos::gIntersection sp::CRS sp::over sp::Polygon sp::Polygons sp::SpatialPoints sp::SpatialPolygons sp::spDistsN1
xROI,sp::Polygons sp::SpatialPolygons
zoon,sp::CRS sp::SpatialPoints
