package,depends,imports,linksto,suggests
MetricGraph,,sp,,
MLID,,,,sp
mosaic,,,,sp maptools
mosaicCalc,,sp,,
movecost,,sp,,
mregions,,sp,,rgdal rgeos
oce,,,,sp
oceanic,,sp,,
onemapsgapi,,,,sp rgdal
opensensmapr,,,,maptools rgeos
osmdata,NA,NA,NA,NA
overlap,,,,sp maptools
pedometrics,,,,sp
pgirmess,,sp,,
plotdap,,,,maptools
prabclus,,,,maptools
prettymapr,,,,sp maptools rgdal
psgp,,sp,,
R2BayesX,,,,sp rgdal
raster,sp,,,
RCGLS,,sp,,
recmap,sp,,,
rerddapXtracto,,sp,,maptools rgdal
rgeoda,,,,sp
rgrass7,,,,sp rgdal
rioja,,,,maptools
rleafmap,,sp,,
rnaturalearthdata,,sp,,
rnoaa,,,,rgdal
rpanel,,,,sp
rsatscan,,,,sp rgdal
rsinaica,,,,sp
rsyncrosim,,,,rgdal
rtop,,sp,,rgdal rgeos
Rtrack,,,,
satellite,,,,rgdal
SCpubr,,,,rgdal
SDMPlay,,,,sp maptools rgdal
seg,sp,,,rgdal
SeuratObject,sp,,,rgeos
sf,,,,sp
shoredate,,,,rgdal
simplevis,,,,rgdal rgeos
SimSurvey,NA,NA,NA,NA
solaR,,,,sp
SpaDES.core,,,,sp
spatstat.explore,,,,maptools
spatstat.geom,,,,maptools
spdep,,sp,,
spemd,,sp,,
sphet,,sp,,
SPIAT,,sp,,
spm,,sp,,
spnet,sp,,,
spup,,sp,,
stars,,,,sp
structToolbox,,sp,,
subniche,,,,maptools
SUMMER,,sp,,
Ternary,,sp,,
tidyUSDA,,,,rgeos
trajectories,,sp,,
transfR,,,,rgdal
UBL,sp,,,
ukpolice,,,,sp
usmap,,,,sp
variosig,,sp,,
vegtable,,sp,,
WASP,,sp,,
WEGE,,sp,,
wildlifeDI,,sp,,rgeos
abmR,,sp,,
adegraphics,,sp,,
adehabitatHR,sp,,,
adehabitatHS,sp,,,
adehabitatLT,sp,,,
adehabitatMA,sp,,,
AFM,,sp,,
AGPRIS,,sp,,
agricolaeplotr,,sp,,
akima,,sp,,
amt,,,,sp
angstroms,,sp,,
animint2,,,,sp
anipaths,,sp,,
AquaBEHER,,sp,,
AQuadtree,sp,,,
